TestID,Algorithm,Pre-Indexed,Normalized jumps,Grams size,Jumps size,Parallel,TotalDocs,TotalTime,AvgSpearmanSim10,MinSpearmanSim10,MaxSpearmanSim10,AvgTime10,MinTime10,MaxTime10,AvgSpearmanSim20,MinSpearmanSim20,MaxSpearmanSim20,AvgTime20,MinTime20,MaxTime20,AvgSpearmanSim40,MinSpearmanSim40,MaxSpearmanSim40,AvgTime40,MinTime40,MaxTime40
34,bm25,false,false,2,3,false,1648,563,-0.0075,-0.0624,0.0462,54,7,926,0.0019,-0.0626,0.0508,121,43,1309,0.0035,-0.0368,0.0633,94,84,107
35,tdIdf,false,false,2,3,true,1648,1930,0.0052,-0.0607,0.0463,49,16,74,0.0009,-0.0407,0.0565,86,68,146,-0.0033,-0.0695,0.0596,150,131,182
36,bm25,false,false,2,3,true,1648,810,0.0066,-0.0561,0.0622,34,19,46,0.0020,-0.0635,0.0788,62,49,78,0.0026,-0.0541,0.0683,115,94,137
37,tdIdf,false,true,2,3,false,1648,1727,0.0050,-0.0514,0.0770,35,8,43,0.0011,-0.0378,0.0556,69,63,106,-0.0001,-0.0404,0.0420,138,123,154
38,bm25,false,true,2,3,false,1648,537,-0.0010,-0.0655,0.0439,25,7,35,-0.0007,-0.0579,0.0490,51,46,60,0.0025,-0.0783,0.0542,107,97,123
39,tdIdf,false,true,2,3,true,1648,2278,0.0014,-0.0601,0.0483,69,16,282,0.0007,-0.0473,0.0491,102,90,197,0.0024,-0.0482,0.0603,183,157,205
40,bm25,false,true,2,3,true,1648,817,0.0011,-0.0588,0.0644,38,15,50,0.0005,-0.0520,0.0494,72,63,81,-0.0001,-0.0499,0.0479,135,123,148
41,tdIdf,false,false,2,4,false,1648,2001,-0.0037,-0.0965,0.0724,33,7,43,0.0032,-0.0595,0.0670,64,56,82,-0.0038,-0.0708,0.0432,128,115,146
42,bm25,false,false,2,4,false,1648,604,0.0029,-0.0447,0.0769,23,8,38,0.0044,-0.0459,0.0639,48,43,57,0.0051,-0.0470,0.0490,100,93,114
43,tdIdf,false,false,2,4,true,1648,2713,-0.0029,-0.0644,0.0481,54,20,206,0.0079,-0.0552,0.0613,92,74,108,-0.0011,-0.0637,0.0521,172,141,200
44,bm25,false,false,2,4,true,1648,1194,-0.0017,-0.0532,0.0668,35,25,47,0.0001,-0.0498,0.0830,167,55,485,-0.0046,-0.0896,0.0619,138,111,163
45,tdIdf,false,true,2,4,false,1648,2447,0.0003,-0.0651,0.0547,51,12,209,0.0046,-0.0546,0.0551,85,75,99,0.0058,-0.0497,0.0537,166,148,191
46,bm25,false,true,2,4,false,1648,643,-0.0007,-0.0637,0.0528,31,10,46,-0.0018,-0.0557,0.0439,65,56,81,-0.0019,-0.0463,0.0604,227,120,734
47,tdIdf,false,true,2,4,true,1648,2517,-0.0006,-0.0540,0.0769,67,19,76,0.0031,-0.0451,0.0603,115,97,132,-0.0023,-0.0535,0.0878,213,185,235
48,bm25,false,true,2,4,true,1648,1368,0.0014,-0.0493,0.0408,75,17,231,-0.0047,-0.0664,0.0357,86,76,100,-0.0022,-0.0588,0.0514,181,158,219
49,tdIdf,false,false,3,0,false,1648,593,0.0034,-0.0547,0.0388,17,0,60,-0.0030,-0.0748,0.0442,29,25,34,0.0009,-0.0524,0.0657,53,49,65
50,bm25,false,false,3,0,false,1648,142,0.0012,-0.0562,0.0508,10,0,18,-0.0024,-0.0453,0.0475,20,18,30,0.0011,-0.0481,0.0466,41,37,49
51,tdIdf,false,false,3,0,true,1648,694,0.0020,-0.0637,0.0747,25,0,31,-0.0009,-0.0581,0.0504,48,41,159,-0.0025,-0.0654,0.0632,79,69,88
52,bm25,false,false,3,0,true,1648,307,0.0028,-0.0444,0.0583,16,0,21,-0.0026,-0.0449,0.0490,39,29,155,0.0057,-0.0358,0.0493,58,53,71
53,tdIdf,false,true,3,0,false,1648,1113,-0.0050,-0.0586,0.0548,31,2,170,-0.0055,-0.0630,0.0541,41,29,177,-0.0015,-0.0344,0.0635,96,51,426
54,bm25,false,true,3,0,false,1648,172,-0.0011,-0.0485,0.0458,11,0,25,0.0026,-0.0557,0.0542,25,17,135,0.0018,-0.0664,0.0480,36,33,45
55,tdIdf,false,true,3,0,true,1648,684,-0.0001,-0.0351,0.0496,24,0,34,-0.0034,-0.0620,0.0507,44,36,79,-0.0033,-0.0488,0.0547,75,67,93
56,bm25,false,true,3,0,true,1648,248,-0.0007,-0.0487,0.0683,15,0,21,0.0004,-0.0592,0.0656,28,24,38,-0.0028,-0.0595,0.0532,52,48,60
57,tdIdf,false,false,3,1,false,1648,1883,-0.0035,-0.0810,0.0449,40,0,50,-0.0043,-0.0536,0.0564,81,77,93,-0.0033,-0.0605,0.0392,164,155,186
58,bm25,false,false,3,1,false,1648,739,-0.0035,-0.0689,0.0439,29,0,37,-0.0012,-0.0614,0.0409,67,58,86,0.0009,-0.0517,0.0687,138,129,151
59,tdIdf,false,false,3,1,true,1648,2263,-0.0029,-0.0506,0.0386,62,0,77,-0.0016,-0.0507,0.0548,112,100,123,-0.0023,-0.0481,0.0524,214,196,237
60,bm25,false,false,3,1,true,1648,990,0.0041,-0.0439,0.0586,45,0,57,-0.0033,-0.0497,0.0493,91,82,102,-0.0020,-0.0603,0.0597,176,165,189
61,tdIdf,false,true,3,1,false,1648,2067,0.0002,-0.0581,0.0659,42,0,133,-0.0039,-0.0569,0.0551,71,60,85,0.0033,-0.0587,0.0420,159,136,187
62,bm25,false,true,3,1,false,1648,351,-0.0002,-0.0592,0.0758,25,0,33,0.0029,-0.0715,0.0551,54,46,61,0.0046,-0.0635,0.0778,114,101,124
63,tdIdf,false,true,3,1,true,1648,2184,0.0043,-0.0571,0.0504,51,0,64,0.0009,-0.0584,0.0536,94,84,108,-0.0032,-0.0530,0.0454,174,150,198
64,bm25,false,true,3,1,true,1648,942,-0.0003,-0.0791,0.0535,41,0,53,0.0044,-0.0612,0.0654,80,67,93,-0.0029,-0.0483,0.0538,161,138,181
65,tdIdf,false,false,3,2,false,1648,5287,-0.0002,-0.0552,0.0591,102,0,312,0.0030,-0.0585,0.0654,185,173,206,0.0015,-0.0517,0.0707,451,391,544
66,bm25,false,false,3,2,false,1648,2674,0.0002,-0.0472,0.0385,143,0,168,0.0017,-0.0606,0.0538,295,276,322,-0.0011,-0.0516,0.0487,654,609,721
67,tdIdf,false,false,3,2,true,1648,8367,0.0011,-0.0411,0.0497,224,0,439,-0.0015,-0.0636,0.0480,499,388,637,-0.0067,-0.0618,0.0474,1169,951,1363
68,bm25,false,false,3,2,true,1648,2364,-0.0007,-0.0671,0.0436,78,0,101,-0.0020,-0.0663,0.0436,170,158,183,0.0005,-0.0450,0.0635,385,349,442
69,tdIdf,false,true,3,2,false,1648,3969,-0.0023,-0.0488,0.0525,57,0,84,0.0027,-0.0517,0.0695,122,106,147,-0.0041,-0.0469,0.0402,260,226,294
70,bm25,false,true,3,2,false,1648,1489,-0.0014,-0.0558,0.0812,55,0,117,-0.0014,-0.0420,0.0501,107,92,130,0.0060,-0.0423,0.0695,601,242,1461
71,tdIdf,false,true,3,2,true,1648,5609,0.0047,-0.0649,0.0598,122,1,406,-0.0064,-0.0788,0.0521,176,143,226,-0.0014,-0.0469,0.0705,392,327,499
72,bm25,false,true,3,2,true,1648,2109,-0.0012,-0.0486,0.0475,72,0,171,-0.0032,-0.0583,0.0517,139,111,171,0.0000,-0.0427,0.0544,295,243,355
